appmetrica_device_id,city,publisher_name,tracker_name,click_datetime
6183767188204915808,Yerevan,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-14 20:59:11
7823208773621374861,Moscow,,Google Play,0000-00-00 00:00:00
9869904478732969823,Dushanbe,,Google Play,0000-00-00 00:00:00
10421055668195947021,Belogorsk,,unknown,0000-00-00 00:00:00
16241749217799993216,Nur-Sultan,,Google Play,0000-00-00 00:00:00
581936067037863122,,,Google Play,0000-00-00 00:00:00
14307056848476574128,Astrahan,,Google Play,0000-00-00 00:00:00
15681307314252326010,Ekibastuz,,Google Play,0000-00-00 00:00:00
8976483806080523804,Uralsk,,Google Play,0000-00-00 00:00:00
15373919849051821355,Almaty,,Google Play,0000-00-00 00:00:00
11370694237192485236,Almaty,,Google Play,0000-00-00 00:00:00
11385830905384213361,,,Google Play,0000-00-00 00:00:00
17727855836056904232,Sochi,,Google Play,0000-00-00 00:00:00
7145247781319702314,,,Google Play,0000-00-00 00:00:00
11663900215579684328,,,Google Play,0000-00-00 00:00:00
506577356954076099,,,Google Play,0000-00-00 00:00:00
2035547296076669863,Saint Petersburg,,Google Play,0000-00-00 00:00:00
3538251751231548462,Almaty,,Google Play,0000-00-00 00:00:00
5560656398489032117,Chimkent,,Google Play,0000-00-00 00:00:00
9465961257112987870,Kokshetau,,Google Play,0000-00-00 00:00:00
3126392831010574139,,,Google Play,0000-00-00 00:00:00
3133102570567067304,Krakow,,Google Play,0000-00-00 00:00:00
6171300976478571199,Saint Petersburg,,Google Play,0000-00-00 00:00:00
14368853613760446948,Moscow,,unknown,0000-00-00 00:00:00
18243198151636997878,Bishkek,,Google Play,0000-00-00 00:00:00
3345775252809439759,Tashkent,,Google Play,0000-00-00 00:00:00
7077730145003375195,Moscow,,Google Play,0000-00-00 00:00:00
5635210117085540802,Baku,,Google Play,0000-00-00 00:00:00
6201516274567238464,,,Google Play,0000-00-00 00:00:00
15294239313082466595,Tashkent,,Google Play,0000-00-00 00:00:00
16265310898171357003,Tashkent,,Google Play,0000-00-00 00:00:00
3961170110415202490,,,Google Play,0000-00-00 00:00:00
13468705709819597313,Moscow,,unknown,0000-00-00 00:00:00
14843286691251999766,Nur-Sultan,,Google Play,0000-00-00 00:00:00
11485803500027280860,Moscow,,Google Play,0000-00-00 00:00:00
6309819574080545163,Mogilev,,Google Play,0000-00-00 00:00:00
845129510734335763,Tashkent,,Google Play,0000-00-00 00:00:00
5409590097068706888,Moscow,,Google Play,0000-00-00 00:00:00
8859789180115752334,Tula,,Google Play,0000-00-00 00:00:00
10592729085959613739,Moscow,,Google Play,0000-00-00 00:00:00
15300856890759224225,Kishinev,,Google Play,0000-00-00 00:00:00
11976935236121225373,,,Google Play,0000-00-00 00:00:00
14239720515591153913,,,Google Play,0000-00-00 00:00:00
387299604948365291,Minsk,,Google Play,0000-00-00 00:00:00
5883493665948359479,,,unknown,0000-00-00 00:00:00
9925238871254580362,Gomel,,Google Search,0000-00-00 00:00:00
12162487473224785854,Tashkent,,Google Play,0000-00-00 00:00:00
13334136396688050945,Dushanbe,Google Ads,ЧоПочом (com.intervale.sendme),2020-07-12 21:46:26
16971797642613964208,Tashkent,,Google Play,0000-00-00 00:00:00
4294072508674940765,,,Google Play,0000-00-00 00:00:00
8316825673804910308,San Francisco,,Google Play,0000-00-00 00:00:00
1819134238055978565,Konotop,,Google Play,0000-00-00 00:00:00
5708191133809266117,Baku,,Google Search,0000-00-00 00:00:00
7353781605304540921,,,Google Play,0000-00-00 00:00:00
7656876261243463693,Grodno,,Google Play,0000-00-00 00:00:00
3229474873843744592,Almaty,,Google Play,0000-00-00 00:00:00
5014497953416256096,Comrat,,Google Play,0000-00-00 00:00:00
6007923205672425542,Saint Petersburg,,Google Play,0000-00-00 00:00:00
18398121931268374658,,,Google Play,0000-00-00 00:00:00
